date,ticker,price
2024-01-01,AAPL,152.17416977484868
2024-01-02,AAPL,151.25076113647324
2024-01-03,AAPL,151.059697156752
2024-01-04,AAPL,150.87237384749645
2024-01-05,AAPL,150.2440224605981
2024-01-06,AAPL,148.01206250360084
2024-01-07,AAPL,147.2690764408523
2024-01-08,AAPL,146.58507323137238
2024-01-09,AAPL,148.2415512593267
2024-01-10,AAPL,148.54402321347618
2024-01-11,AAPL,147.9096627712199
2024-01-12,AAPL,147.16436738999508
2024-01-13,AAPL,146.55060655442122
2024-01-14,AAPL,145.47692144594134
2024-01-15,AAPL,146.35923744773152
2024-01-16,AAPL,147.80416422488426
2024-01-17,AAPL,147.98787258837686
2024-01-18,AAPL,146.92164614194485
2024-01-19,AAPL,145.00133532417672
2024-01-20,AAPL,145.5366993683408
